Mikky Ekko ; Time
bvd kult,OT ; Let You Go - Acoustic
Howie Day ; Collide
Stephen ; Crossfire
Travis Scott ; WAKE UP
Tag Shai,Agile ; Adult Content
Sasha Sloan ; Faking It
Young Thug,Future ; Relationship (feat. Future)
Tag Shai,SorrySines ; Armoured Backpack
Alex & Sierra ; Back to You
Yiruma ; River Flows In You - Original
Danger Incorporated ; World Wide Web
KILLY ; Deadtalks
Hector Vae,Lil Peep ; October Ft. Lil Peep
Danger Incorporated,Yung Ghoul ; Graveyard
Vance Joy ; Lay It On Me
Oh Wonder ; White Blood
Jessie J ; Who You Are
Joshua Hyslop ; Stand Your Ground
Coldplay ; Fix You
The Cinematic Orchestra,Patrick Watson ; To Build A Home
Azide,J Swey ; Caedes 1616
Keaton Henson ; Don't Swim
Josefine ; MExU
shinigami ; Luna
Dean Lewis ; Chemicals
Elijah Who ; hibiscus
nothing,nowhere. ; Houdini
The Script ; The Man Who Can't Be Moved
Sushii Boiis,Azide,J Swey ; Pour It Up
Daniel Powter ; Bad Day
Shawn Mendes ; Mercy - Acoustic
Shawn Mendes ; Running Low
Phé ; Feel You
Blackbear ; I Needed You
Lund ; Alone
Ed Sheeran ; The A Team
Seafret ; Give Me Something
Tom Rosenthal ; Watching You Watching YouTube in the Dark
G-Eazy,Grace ; Don't Let Me Go
Miranda Lambert ; Tin Man
Joe Traxler ; If I Could Ever Fall Asleep
gnash,WRENN ; fragile (feat. WRENN)
Blonde,Melissa Steel ; I Loved You (feat. Melissa Steel)
XXXTENTACION,Kin$oul,Killstation ; Slipknot
Syringe,Vittal Flex ; I Like Being
OmenXIII ; 01000100 01010000 01010011 00101011
Iron & Wine ; Call It Dreaming
Avril Lavigne ; When You're Gone
XXXTENTACION ; schizophrenia
333,Vague002 ; Don't Come Around
Lil Skies,Landon Cube ; Red Roses (feat. Landon Cube)
Lil Peep,Wicca Phase Springs Eternal,Døves ; Avoid
Christina Grimmie ; With Love
Shakewell ; Hold Me Down
Meghan Trainor ; 3am
Justin Bieber ; Love Yourself
Rihanna ; Unfaithful
Glee Cast ; If I Were a Boy (Glee Cast Version)
Avril Lavigne ; Wish You Were Here
Demi Lovato ; Skyscraper
Yung Lean,Bladee ; Hennessy & Sailor Moon
Smrtdeath ; Everything
Ariana Grande,Nicki Minaj ; Side To Side
Sleeping At Last ; Already Gone
Drake,WizKid,Kyla ; One Dance
OmenXIII ; Network
Gavin Mikhail ; Amnesia
nothing,nowhere. ; hammer
Azide,J Swey,Ikaros ; 4 AM Tokyo Private Show
mysticphonk,Lil Peep ; Haunt U
Sufjan Stevens ; Visions of Gideon
Jaymes Young ; I'll Be Good
Rich Brian ; Dat $tick
John Tracy ; Blue Sunny Skies
Just Kiddin ; Only for You - Radio Edit
XXXTENTACION ; Orlando
Alessia Cara ; A Little More
RY X ; Sweat
Justin Bieber ; Purpose
Killstation ; Vengeance
Lil Peep,XXXTENTACION ; Falling Down
London Grammar ; Strong
Mark Diamond ; Found My Way (Stripped)
$uicideBoy$,Germ ; Obey The Walrus
Natasha Bedingfield ; Soulmate
Pia Mia ; Touch
$uicideBoy$ ; O Pana!
Xavier Wulf ; Wulf Wood
XXXTENTACION ; Looking for a Star
Johnny Stimson ; I'll Be Fine
Ben Howard ; Promise
Justin Bieber ; Nothing Like Us - Bonus Track
killedmyself,kryptik ; wishful thinking (feat. kryptik)
Amber Run ; I Found - Acoustic
Trippie Redd ; BANG!
Original God,Lil Peep,Paulie ; u don't know me (ft. Lil Peep)
Lennon Stella ; Like Everybody Else - Acoustic
Emeli Sandé ; My Kind Of Love
Lil Peep ; U Said
Zedd,Hayley Williams ; Stay The Night - featuring Hayley Williams of Paramore
Shakewell ; Voodoo Walk
Ron Pope ; A Drop In The Ocean
Caezer ; Potent
333,Vague003 ; Wild Place
Billie Eilish ; Bored
Klingande ; Jubel
Lea Michele ; If You Say So
XXXTENTACION ; Revenge
Kristy Chmura ; Abandoned House
$uicideBoy$ ; Antarctica
Ellie Goulding ; Your Song
One Direction ; Half a Heart
Beyoncé ; If I Were a Boy
Samantha Jade ; Heartless
The Ninetys ; F R E E W O R L D
Ilham,Arin Ray ; cycle of games
WAV ; On the Spot
Gabrielle Aplin ; Salvation
Maria Lynn,Toniia ; All or Nothing (Acoustic)
gnash,Ben Abraham ; dear insecurity (feat. Ben Abraham)
OmenXIII ; I Think It's Time That I Emerge
LIONAIRE ; NOTFROMHERE.
AURORA ; Murder Song (5, 4, 3, 2, 1) [Acoustic]
$uicideBoy$ ; Meet Mr. NICEGUY
Jason Derulo ; Trumpets
Ghostemane,Shakewell,Pouya,Erick the Architect ; Death by Dishonor
Ruth B. ; Lost Boy
guccihighwaters ; i ain't feeling better
Azide,J Swey ; God & the Devil
Kid Kaze,Lil Xan ; For the Better (feat. Lil Xan)
Pouya ; Suicidal Thoughts in the Back of the Cadillac, Pt. 2
Billie Marten ; Live
One Direction ; Same Mistakes
Lil Peep ; Better Off - Dying
Danger Incorporated ; Diamonds
Vic Mensa ; There's Alot Going On
Fat Nick,Lil Peep ; P.S Fuck You Cunt (feat. Lil Peep)
Alex & Sierra ; Bumper Cars
Brennan Savage ; Look at Me Now
Amber Run ; I Found
Sam Smith ; Too Good At Goodbyes - Edit
FINNEAS ; Break My Heart Again
Josefine ; Do It For Me
Kelly Clarkson ; Because of You
Miley Cyrus ; The Climb
Danger Incorporated ; A Danger Boy Never Dies
Blackbear,lil aaron ; playboy shit (feat. lil aaron)
Lund ; Fall Away
Lucy Rose ; Be Alright
Christina Aguilera ; Beautiful
NF ; Paralyzed
Nas ; The Message
Trippie Redd ; Underwater FlyZone
Shakewell ; Sleeping Bag
Lil Bo Weep,ELHIXIR ; not ok but its ok
Adele ; Set Fire to the Rain
Pink Sweat$ ; Honesty
Original God,Cresylic,Crimewave,Joule,Yung Bitch ; Skin Me Alive (ft. Yung Bitch, Joule$, & Crimewave) [prod. cresylic]
Adina E ; I Couldn't Help Myself
Bruno Mars ; Talking To The Moon
Clean Bandit,Julia Michaels ; I Miss You (feat. Julia Michaels)
Lil Skies,Landon Cube ; Nowadays (feat. Landon Cube)
The Weeknd ; Wicked Games
Late Night Episode ; Smoking Kills
Backstreet Boys ; Show Me the Meaning of Being Lonely
Jasper Steverlinck ; That's Not How Dreams Are Made
$uicideBoy$ ; FUCKTHEPOPULATION
JoJo ; Too Little, Too Late
Jonas Blue,JP Cooper ; Perfect Strangers
Shawn Mendes ; Mercy
Ghostemane ; Squeeze
Noah Cyrus,Gallant ; Mad at You (with Gallant)
ryanjacob,333,Jack Larsen,Lil West ; SUPPLY ft. 333, Jack Larsen & Lil West
Hoobastank ; The Reason
James Arthur ; Naked
shinigami ; Nobody
nothing,nowhere. ; Fair Trade
Plumb ; Don't Deserve You
Sam Smith ; I'm Not The Only One
James Arthur ; Suicide
Shawn Mendes ; Treat You Better
Foreign Forest,Lund,Martensite ; Actually I'm Good (Feat. Lund)
KILLY ; No Sad No Bad
Twenty One Pilots ; Cancer
gnash,Olivia O'Brien ; I Hate U I Love U (feat. Olivia O'Brien)
Joel Adams ; Please Don't Go
Lissie ; Blood & Muscle
ITSOKTOCRY,Trashcat,trillskeleton ; MURDER ME SLOWLY (Prod. trashcat & trillskeleton)
Juke Ross ; Colour Me
6obby ; Vintage
Adele ; Make You Feel My Love
Coldplay ; Warning Sign
Abist ; Apathy
Jessica Mauboy,Jay Sean ; What Happened to Us
Gavin James,Mark 'Spike' Stent ; Bitter Pill
Taylor Swift,The Civil Wars ; Safe & Sound - The Hunger Games/Soundtrack Version
Tom Rosenthal ; I Like It When You're Gone
MKTO ; Wasted
Thaiboy Digital,Yung Lean ; Can't Trust
XXXTENTACION,Kin$oul,Killstation ; Slipknot (feat. Kin$oul & Killstation)
Jordin Sparks ; Battlefield
3 Doors Down,Jack Joseph Puig ; Here Without You
Joji ; Will He
6LACK ; Ex Calling
Lil Wayne,XXXTENTACION ; Don't Cry (feat. XXXTENTACION)
Glee Cast ; Make You Feel My Love (Glee Cast Version)
Rufus Wainwright ; The Maker Makes - Brokeback Mountain/Soundtrack Version
Scouting For Girls ; This Ain't A Love Song
Matthew And The Atlas ; Palace
Passenger ; Let Her Go - Acoustic
Mackned,Lil Peep ; Missed Calls (feat. Lil Peep)
killedmyself ; when did it matter?
Selena Gomez ; The Heart Wants What It Wants
LANY ; Someone Else
RHODES,Birdy ; Let It All Go
XXXTENTACION ; Introduction (instructions)
XXXTENTACION ; before I close my eyes
Lil Xan ; Wake Up
Original God ; Rigor Mortis
Lor Choc ; Speechless (Hurt so Bad)
Lil Xan ; Deceived
Sarah Close ; Only You - Acoustic
Isaiah ; It's Gotta Be You
Getter,Ghostemane ; Grain
Sean Grandillo ; Why Is It so Hard to Change
Lil Happy Lil Sad ; Let Me Die
Trippie Redd,Young Thug,Reese LAFLARE ; Forever Ever
Beyoncé ; Broken-Hearted Girl
Russ ; Overdue
Sia ; Free Me
Jaymes Young ; Moondust
Shakewell ; Virginia Tech
Rude. ; Angel's Cry
Secondcity ; I Wanna Feel - Radio Edit
KILLY ; Distance
Snakehips,Tinashe,Chance the Rapper ; All My Friends (feat. Tinashe & Chance the Rapper)
Gavin James ; Nervous - Acoustic
Billie Eilish ; idontwannabeyouanymore
Keaton Henson ; Party Song
Zara Larsson ; Uncover
Chris Travis ; 5 Am
Yung Lean ; Red Bottom Sky
Michael Andrews,Gary Jules ; Mad World
Joji ; Window
Gavin James ; Always
Birdy ; Tee Shirt
Coldplay ; The Scientist
Triple One ; Breakin' Dawn.
The All-American Rejects ; It Ends Tonight
Smokepurpp ; Audi.
Lucy Rose ; Night Bus
James Vincent McMorrow ; Red Dust - Solo Version
Sleeping At Last ; Atlas: Sorrow
Fredrika Stahl ; Rocket Trip to Mars
John Mayer ; Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007
Nina Nesbitt ; The Sun Will Come up, The Seasons Will Change
Sigrid ; I Don't Want To Know
David Archuleta ; I'm Ready
Dustin Tebbutt ; All Your Love
Jake Etheridge ; Getting over You
nothing,nowhere.,Dashboard Confessional ; Hopes Up (feat. Dashboard Confessional)
Michael Schulte ; You Said You'd Grow Old With Me
One Direction ; If I Could Fly
Wifisfuneral ; Wya?
The Script ; Nothing
Dennis Lloyd ; Leftovers
KILLY ; Live Your Last
Killstation,Craig Xen ; Filth
Powfu ; I Could Never Be Loved
Tom Rosenthal ; Too Many Candles
Rhys Lewis ; Waking Up Without You
nothing,nowhere. ; Funeral Fantasy
nothing,nowhere. ; Deadbeat Valentine
Original God,Hounds Beats,Pink Nokia ; End of Eva (prod. Hounds Beats x Pinknokia)
Gavin James ; The Book of Love
James Blunt ; Heart To Heart
Hillsong United ; Oceans (Where Feet May Fail)
Anna Nalick ; Breathe (2 AM)
Christina Perri ; human
Train ; 50 Ways to Say Goodbye
Luke Christopher ; Lot to Learn
SKŸE ; Better
Michl ; Die Trying
Lil Happy Lil Sad,Kuroime ; Kill Myself
Pouya ; We All Not Shit
5 Seconds of Summer ; Amnesia
XXXTENTACION ; YuNg BrAtZ
CLOVES ; Don't Forget About Me
Keaton Henson ; Polyhymnia
Christian Akridge ; Please Notice
Rude. ; Virgo
Oh Wonder ; All We Do
Lil Peep,Horsehead ; Girls
Major Lazer,Justin Bieber,MØ ; Cold Water (feat. Justin Bieber & MØ)
Kygo,Parson James ; Stole the Show
Camila Cabello ; Consequences
Yung Lean ; Ginseng Strip 2002
Jade Bird ; Lottery - Acoustic
James Morrison,Nelly Furtado ; Broken Strings
Jonas Lundvall ; Borders
nothing,nowhere. ; I've Been Doing Well
Powfu ; I Know You're Not Happy
Patrick Watson ; Noisy Sunday
Calum Scott ; You Are The Reason
Alicia Keys ; Doesn't Mean Anything
SinceWhen,Lil Peep ; Not The One Ft. Lil Peep
Adele ; All I Ask
Keaton Henson ; No Witnesses
Shawn Mendes ; Never Be Alone
Gabrielle Aplin ; The Power of Love
Mark Diamond ; Flashback (Lost Recording #1)
Simple Plan ; Problem Child
Kodaline ; High Hopes
Ghostemane ; Rapture
Noah Cyrus,LP ; Punches (with LP)
Aquilo ; You There
Rebecca Ferguson ; Teach Me How to Be Loved
Blake McGrath ; Missing You
Young Lungs,Cian P ; Courtside
Vague003 ; I don’t blame you
Original God,Syringe ; Want It All (ft. Syringe)
Ed Sheeran ; Happier
Yunggoth✰,Lil Peep ; Coke (feat. Lil Peep)
Marshmello,Khalid ; Silence
nothing,nowhere. ; ruiner
James Arthur ; Impossible
Marshmello,Lil Peep ; Spotlight
Leona Lewis ; Better in Time
Cat Clyde ; The River
Yung Pinch ; Leave Me Alone
James Blunt ; You're Beautiful
Demi Lovato ; Warrior
NF,Britt Nicole ; Can You Hold Me
Ryan Star ; Losing Your Memory
Travis Scott ; CAN'T SAY
RHODES ; Morning
nothing,nowhere. ; Weight of the Wind
Sarcastic Sounds,Beowülf,Mishaal ; Runaway
Scarlxrd ; King, Scar.
OneRepublic ; Come Home
6 Dogs ; Faygo Dreams
Pouya,Shakewell ; Terminal Sex
Finding Hope ; Love
Wet ; Don't Wanna Be Your Girl
Lund ; Rx Luv
Kevin Garrett ; Refuse
Rihanna ; Take A Bow - Main
J Hus ; Did You See
9sense,Vegard ; 9end
Trippie Redd ; Oomps Revenge
Maisie Peters ; Worst of You
Troye Sivan ; YOUTH
Aquilo ; Losing You
6LACK ; PRBLMS
shinigami ; Lite Brite
Sam Smith ; Stay With Me
Jason Mraz ; I Won't Give Up
Original God,gin$eng,Kamiyada+ ; Help Me (ft. Kamiyada) [prod. gin$eng]
Sleeping At Last ; Chasing Cars
The Weeknd ; Call Out My Name
Vaboh ; I'm Sick of Trying
The Vamps ; Risk It All
A Great Big World,Christina Aguilera ; Say Something
KirbLaGoop,Lil Peep,Yung Lan ; Cocaina Pearls
Meech La'flare ; Sippin' Tea in Yo Hood
Little Mix ; Competition
Kid $Ixty,Syndrome ; You Think You Know Me
Novo Amor ; Carry You
White Shinobi ; you’re a ghost
Declan J Donovan ; Human Way
James Vincent McMorrow ; Higher Love
Getter,Ghostemane ; Hack Slash
Azide,Blak Trash,X:I ; Useless
Dan Owen ; Hand That You Hold
Rich Brian ; Glow Like Dat
Trove ; Call Out My Name
mansionz,Spark Master Tape ; STFU
Keaton Henson ; You Don't Know How Lucky You Are
Flipp Dinero ; Leave Me Alone
Joji ; Demons
Noah Cyrus,Labrinth ; Make Me (Cry)
M-22 ; Good To Be Loved - UK Radio Edit
$uicideBoy$ ; Magazine
Yung Pinch ; When I Was Yung
Hot Chelle Rae,Demi Lovato ; Why Don't You Love Me
Taylor Swift,The Civil Wars ; Safe & Sound - from The Hunger Games Soundtrack
3 Doors Down ; Here Without You
The Kooks ; She Moves In Her Own Way
Maroon 5 ; Payphone
X Ambassadors ; Unsteady
Jeff Buckley ; Last Goodbye
Lil Peep ; Benz Truck (гелик)
Jamie Scott ; Unbreakable
Dean Lewis ; Lose My Mind
Kodaline ; All I Want
Yung Lean,Ecco2k ; Af1s
Danny L Harle,DJ Q ; Broken Flowers - DJ Q Remix
Hannah Michelle Weeks ; I Thought You Were My Friend
Rich Brian,Keith Ape,XXXTENTACION ; Gospel
Clean Bandit,Julia Michaels ; I Miss You (feat. Julia Michaels) - Acoustic
Scarlxrd ; HXW THEY JUDGE
Yung Dash ; No Good
RY X ; Berlin
Danger Incorporated ; Forever
Cary Brothers ; Belong
Dean Lewis ; Be Alright
Rihanna,Ne-Yo ; Hate That I Love You
Sleeping At Last ; Faith
Ed Sheeran ; All Of The Stars
Isabella ; Three
Switchfoot ; You
Ghostemane ; Mercury: Retrograde
Kygo,Labrinth ; Fragile
Dan Owen ; Stay Awake with Me
Trippie Redd ; How You Feel
nothing,nowhere. ; Neither Here, Nor There
Nicki Minaj ; Grand Piano
XXXTENTACION ; ALONE, PART 3
Billie Eilish ; watch
Lil Peep ; The Brightside
Night Lovell,Dylan Brady ; Just Tryna
Ella Eyre ; We Don't Have To Take Our Clothes Off
Sleeping At Last ; All Through the Night
Brennan Savage ; Waste of Time
Ryan Adams ; When The Stars Go Blue
Brett Butler,Breana Marin ; Day by Day
Azide,J Swey,Love Kalmar ; U.S.S 1 (Propane)
Jason Mraz ; I Won’t Give Up
Rihanna,Mikky Ekko ; Stay
Mackned,Lil Peep,Cold Hart ; Black Jeep
Ghostemane ; Andromeda
Imaginary Future ; I Knew This Would Be Love
Cascada ; Everytime We Touch - Radio Edit
Glee Cast ; The Scientist (Glee Cast Version)
John Mayer ; XO
gnash ; lonely again
Lil Peep ; Kiss
Rihanna ; Cry
Yung Lean ; Skimask
Keaton Henson ; Epilogue
Brennan Savage ; Badlands
X Ambassadors,Erich Lee ; Unsteady - Erich Lee Gravity Remix
6ix9ine ; GUMMO
Bruno Major ; Places We Won't Walk
