MKTO ; Classic
The Beach Boys ; Surfin' U.S.A. - Remastered
Matt Peach ; Let Down
The Presets ; Downtown Shutdown - Single Edit
Krystal Klear ; Neutron Dance - Edit
5 Seconds of Summer ; Youngblood
Cyndi Lauper ; Girls Just Want to Have Fun
Tim Halperin ; Work for It
David Bowie ; Starman - 2012 Remastered Version
Avicii ; Hey Brother
UB40 ; Red Red Wine
Sabrina Carpenter ; Almost Love
Avicii ; Gonna Love Ya
Troye Sivan ; Bloom
Alexi Blue ; Solo Ride
Colbie Caillat ; Bubbly
OneRepublic ; Connection
Norman Greenbaum ; Spirit In The Sky
MGMT ; Electric Feel
Green Day ; Basket Case
Jason Mraz ; I'm Yours
Chumbawamba ; Tubthumping
Adele ; Send My Love (To Your New Lover)
Chuck Berry ; Route 66 - 『カーズ』より
Monty Python ; Always Look On The Bright Side Of Life
Sublime ; What I Got
Moby ; Honey - 2014 Remastered Version
OutKast ; Roses
The Beach Boys ; God Only Knows - Remastered
Kings of Leon ; Sex on Fire
Example,Hayla ; Show Me How to Love
Shawn Mendes,Camila Cabello ; I Know What You Did Last Summer
Matt Simons ; Made It Out Alright
New Hope Club ; Start Over Again
The Weeknd ; Secrets
Dusky Grey ; A Little Bit
Justin Mylo,Navarra ; Live Like This
Wheatus ; Teenage Dirtbag
Silver ; Wham Bam Shang-A-Lang
Shawn Mendes ; There's Nothing Holdin' Me Back
Steve Brian ; Footprint
Ish D,BeMyFiasco ; Flashlight - Radio Edit
Charlie Puth,Meghan Trainor ; Marvin Gaye (feat. Meghan Trainor)
Matt and Kim ; Daylight
Ariana Grande,Nicki Minaj ; the light is coming (feat. Nicki Minaj)
Kimie Miner ; Bottom of a Rainbow
Meghan Trainor ; TREAT MYSELF
We Rabbitz ; Jackpot
Ariana Grande ; God is a woman
Sister Sledge ; We Are Family
The Beatles ; I Want To Hold Your Hand - Remastered 2015
Drake ; In My Feelings
Hippo Campus ; Simple Season
Pitbull,Chris Brown ; Fun (feat. Chris Brown)
Emily Zeck ; Avocado Toast
Basic Tape ; Melody
Green Day ; Holiday/Boulevard Of Broken Dreams
Junior J ; Back In Your Heart
James Brown ; Get Up Offa That Thing
Bob Marley & The Wailers ; Could You Be Loved
The Beatles ; Twist And Shout - Remastered 2009
Meghan Trainor,LunchMoney Lewis ; I Love Me
Ariana Grande ; no tears left to cry
Bonner Black ; Nothing to It
Donald Glover ; Marry You
Sage Charmaine ; June
Sean Paul,Major Lazer ; Tip Pon It
The Kinks ; All Day and All of the Night
Imagine Dragons ; Zero - From the Original Motion Picture "Ralph Breaks The Internet"
Jamiroquai ; Canned Heat - Remastered
Etta James ; Something's Got A Hold On Me - Single Version
Etta James ; At Last
Red Hot Chili Peppers ; Dark Necessities
Shawn Mendes ; Treat You Better
Mariane ; Dead Wounds
Mike Slap ; Break Me
Fall Out Boy ; Sugar, We're Goin Down
The Struts ; Primadonna Like Me
Zedd,Alessia Cara ; Stay (with Alessia Cara)
Selena Gomez ; Bad Liar
Green Day ; American Idiot
M-22,Medina ; First Time
El Musiquero ; Why Do Fools Fall In Love
Electric Light Orchestra ; Mr. Blue Sky
Michael Jackson ; Black or White - Single Version
Maroon 5 ; Three Little Birds
Dennis Lloyd ; Nevermind
Wave Machines ; Keep the Lights On
Young Romantic ; Move (Time To Get Loose)
The Zombies ; She's Not There
Sons Of Zion,Israel Starr ; Stuck on Stupid
Tiësto,Dzeko,Preme,Post Malone ; Jackie Chan
Phuturekind,Layke Jones ; Never Be Apart
New Order ; Bizarre Love Triangle - Shep Pettibone 12" Remix
Billy Joel ; Piano Man
Matt Peach ; Hey Boy Hey Girl
Ariana Grande,Iggy Azalea ; Problem
SOJA,Rebelution ; Here I Am
Eminem ; Without Me
blink-182 ; What's My Age Again?
Sia ; Move Your Body - Single Mix
Imani Williams,Tiggs Da Author,Belly Squad ; Dumb
George Harrison ; My Sweet Lord
Jack Johnson ; Better Together
Phats & Small,Youngr ; Turn Around - Youngr Bootleg
The Turtles ; Happy Together
Fitz and The Tantrums ; HandClap
Clean Bandit,Demi Lovato ; Solo (feat. Demi Lovato)
Emma Buckley ; Walk of Shame - Acoustic
Macklemore & Ryan Lewis ; Can't Hold Us - feat. Ray Dalton
Zedd,Foxes ; Clarity
Years & Years ; All For You
Alessia Cara ; Wild Things
Maroon 5,Kendrick Lamar ; Don't Wanna Know
Niall Horan ; On The Loose - Alternate Version
Steppenwolf ; Born To Be Wild
Pharrell Williams ; Happy
Avicii ; The Nights
Tom Petty and the Heartbreakers ; Mary Jane's Last Dance
New Politics ; Harlem
The Strokes ; Last Nite
Nina Simone ; Ain't Got No - I Got Life (From the musical production "Hair") - Remastered
Seizo ; Oh Baby
Spawnbreezie,Tenelle ; Going Nowhere (feat. Tenelle)
Hedley ; Crazy For You
The Contours ; Do You Love Me - Mono
Purple Disco Machine ; Dished (Male Stripper) - Edit
The Chainsmokers ; Paris
The Struts ; I Just Know
Two Door Cinema Club ; What You Know
lovelytheband ; broken
Owl City,Carly Rae Jepsen ; Good Time
Calvin Harris,Dua Lipa ; One Kiss (with Dua Lipa)
Charlie Puth,Kehlani ; Done For Me (feat. Kehlani)
Robbie Rivera,Ky-Mani Marley ; All We Need Is Love
Tom Staar ; Drift
Bebe Rexha,Florida Georgia Line ; Meant to Be (feat. Florida Georgia Line)
Frankie Valli & The Four Seasons ; Rag Doll
Chuck Berry ; Roll Over Beethoven - Single Version
OutKast ; Hey Ya!
Beyoncé ; Get Me Bodied - Extended Mix
Rudimental,Jess Glynne,Macklemore,Dan Caplen ; These Days (feat. Jess Glynne, Macklemore & Dan Caplen)
Manfred Mann ; Do Wah Diddy Diddy
Kygo,Ellie Goulding ; First Time
Disclosure,Gwen McCrae ; Funky Sensation
Jamiroquai ; Virtual Insanity - Remastered
Johnny Nash ; I Can See Clearly Now
Alexi Blue ; Easy Love
Glee Cast ; Valerie - Glee Cast Version
Ella Fitzgerald,Louis Armstrong ; Dream A Little Dream Of Me
Pharrell Williams ; It Girl
Echosmith ; Cool Kids
G.R.L. ; Ugly Heart
My Sun and Stars ; You Make Me Happy
MIKA ; Lollipop
Sigala,Paloma Faith ; Lullaby
Dean Martin ; Ain't That A Kick In The Head - 1997 - Remastered
Call Me Loop ; Give 'n' Take
Green Day ; Too Much Too Soon - Non-Album Track
Imagine Dragons ; Believer
Bazzi,Camila Cabello ; Beautiful (feat. Camila Cabello)
Madison Beer ; Home with You
Jax Jones,Ina Wroldsen ; Breathe
Sigala,Fuse ODG,Sean Paul,Kent Jones ; Feels Like Home
Green Day ; Jesus Of Suburbia
Florence + The Machine,Dizzee Rascal ; You've Got The Dirtee Love - Live At The Brit Awards / 2010
Bebe Rexha,Lil Wayne ; The Way I Are (Dance With Somebody) [feat. Lil Wayne]
Alexi Blue ; 3 Minutes
Florence + The Machine ; Dog Days Are Over
OneRepublic ; Kids
Kaerhart ; Losing My Mind
James Hype,Craig David ; No Drama (feat. Craig David)
BØRNS ; Electric Love
Sia,Diplo,Labrinth,LSD ; Thunderclouds with Sia, Diplo & Labrinth
Deorro,Erin McCarley ; I Can Be Somebody
Bee Gees ; Stayin' Alive - Remastered Version
David Guetta,Anne-Marie ; Don't Leave Me Alone (feat. Anne-Marie)
Stevie Wonder ; Signed, Sealed, Delivered (I'm Yours)
Semisonic ; Closing Time
Clean Bandit,Zara Larsson ; Symphony
The Struts ; Matter Of Time
Dion ; Runaround Sue
Plain White T's ; Hey There Delilah
Troye Sivan,Ariana Grande ; Dance To This (feat. Ariana Grande)
The Kinks ; Lola - Coca Cola Version
Don Diablo ; Save A Little Love
Flo Rida ; My House
OutKast ; Hey Ya! - Radio Mix / Club Mix
Common Kings ; Since I Woke Up
Ariana Grande ; Into You
Lauv,Robin Schulz ; Chasing Fire - Robin Schulz Remix
Kygo,Imagine Dragons ; Born To Be Yours
Toploader ; Dancing in the Moonlight
DJ Jazzy Jeff & The Fresh Prince ; Summertime
Lou Bega ; Mambo No. 5 (A Little Bit of...)
Phuturekind ; Hope Is in the Falling Down
Red Hot Chili Peppers ; Californication
Michael Giacchino ; Married Life
Craig David,Yxng Bane ; Magic
Hanson ; MMMBop
Bastille ; Quarter Past Midnight
Møme,JPL ; When We Ride
Daft Punk ; One More Time
MK,Jonas Blue,Becky Hill ; Back & Forth
OMI,Felix Jaehn ; Cheerleader - Felix Jaehn Remix Radio Edit
Nick Luebke ; What I'm Used To
Parker Polhill,Jose Mud ; On One
Sean Paul,Dua Lipa,Sam Feldt ; No Lie - Sam Feldt Remix
Little Richard ; Lucille
Corinne Bailey Rae ; Put Your Records On
Avicii ; Shame On Me
Rak-Su ; I Want You to Freak
Louis Prima,Sam Butera & The Witnesses ; Pennies From Heaven
Ellie Goulding ; Anything Could Happen
Duke Ellington ; Take The "A" Train
Four Tops ; I Can't Help Myself (Sugar Pie, Honey Bunch) - Single Version (Mono)
Maroon 5,Cardi B ; Girls Like You (feat. Cardi B)
Little Mix ; Wings
Lukas Graham ; Mama Said
Major Lazer,Nyla,Fuse ODG ; Light It Up (feat. Nyla & Fuse ODG) - Remix
Kygo,Selena Gomez ; It Ain’t Me (with Selena Gomez)
Jason Derulo,David Guetta,Nicki Minaj,Willy William ; Goodbye (feat. Nicki Minaj & Willy William)
Sigala,HRVY,Nina Nesbitt ; Somebody
Justin Bieber ; Die In Your Arms
Paolo Nutini ; Pencil Full Of Lead
The Beach Boys ; Wouldn't It Be Nice - 2012 - Remaster
Paul McCartney,Wings ; Band On The Run - Remastered 2010
The Kinks ; You Really Got Me - Mono Mix
The Who ; Baba O'Riley
Loote ; Back Together
Phoenix ; If I ever feel better
Oliver Keane ; Taxi cabs
M.O,Lotto Boyzz,Mr Eazi ; Bad Vibe
ARTY,Chris James ; Together We Are (feat. Chris James) - Audien Remix
Fitz and The Tantrums ; The Walker
Red Hot Chili Peppers ; Tell Me Baby
Earth, Wind & Fire ; September
Milky Chance ; Stolen Dance
Classified,B.o.B ; Higher (feat. B.o.B)
The Chainsmokers,Kelsea Ballerini ; This Feeling
The Kingsmen ; Louie Louie
Shawn Mendes ; In My Blood
Kele ; Tenderoni
Alexi Blue ; Perfect Mess
Marvin Gaye,Tammi Terrell ; Ain't No Mountain High Enough - Stereo Version
Axwell /\ Ingrosso ; Dreamer
The Royal Concept ; On Our Way
Machine Gun Kelly,Camila Cabello ; Bad Things - With Camila Cabello
